row_id,task_id,responsibility,shared_work_surface,status,rule name,spec location,compiler location,rule content
1,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,`Syntax`,CursiveSpecification.md:55,,Subsection=`Syntax` | Required Content=Concrete grammar and surface-form restrictions
2,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,`Parsing`,CursiveSpecification.md:56,,"Subsection=`Parsing` | Required Content=Parse entry points, disambiguation, recovery, feature-local parse constraints"
3,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,`AST Representation / Form`,CursiveSpecification.md:57,,"Subsection=`AST Representation / Form` | Required Content=AST forms, invariants, normalized forms"
4,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,`Static Semantics`,CursiveSpecification.md:58,,"Subsection=`Static Semantics` | Required Content=Well-formedness, resolution, typing, admissibility, compile-time rejection"
5,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,`Dynamic Semantics`,CursiveSpecification.md:59,,"Subsection=`Dynamic Semantics` | Required Content=Abstract-machine behavior, runtime transitions, observable effects"
6,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,`Lowering`,CursiveSpecification.md:60,,"Subsection=`Lowering` | Required Content=Feature-local IR, ABI, layout, and backend mapping rules"
7,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,`Diagnostics`,CursiveSpecification.md:61,,Subsection=`Diagnostics` | Required Content=Diagnostic conditions owned by the feature section
8,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,Cursive Language Specification > 1. Conformance and Notation > 1.1 Conformance paragraph @67,CursiveSpecification.md:67,,**Conforming.**
9,TASK-005,Cross-Phase / Build Setup and Infrastructure,compiler/04_analysis,incorrect,Conforming(P),CursiveSpecification.md:68,cursive/src/04_analysis/conformance/conformance.cpp:57-67; cursive/include/04_analysis/conformance/conformance.h:13-24,Conforming(P) ⇔ WF(P)
10,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,Cursive Language Specification > 1. Conformance and Notation > 1.1 Conformance paragraph @70,CursiveSpecification.md:70,,**WF.**
11,TASK-005,Cross-Phase / Build Setup and Infrastructure,compiler/04_analysis,incorrect,WF(P),CursiveSpecification.md:71,cursive/src/04_analysis/conformance/conformance.cpp:57-59; cursive/include/04_analysis/conformance/conformance.h:13-24,WF(P) ⇔ ∃ Γ. Project(Γ) = P ∧ ∀ j ∈ ReqJudgments(P). Γ ⊢ j ⇓ ok
12,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,Cursive Language Specification > 1. Conformance and Notation > 1.1 Conformance paragraph @73,CursiveSpecification.md:73,,**ReqJudgments.**
13,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,ReqJudgments(P),CursiveSpecification.md:74,,"ReqJudgments(P) = [Phase1Order(P), Phase2Order(P), Phase3Order(P), Phase4Order(P)]"
14,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,Cursive Language Specification > 1. Conformance and Notation > 1.1 Conformance paragraph @76,CursiveSpecification.md:76,,**Phase1Order.**
15,TASK-005,Cross-Phase / Build Setup and Infrastructure,compiler/04_analysis,incorrect,Γ,CursiveSpecification.md:77,cursive/src/04_analysis/conformance/conformance.cpp:57-67; cursive/include/04_analysis/conformance/conformance.h:13-24,Γ ⊢ Phase1Order(P) ⇓ ok ⇔ ∃ Ms. Γ ⊢ ParseModules(P) ⇓ Ms
16,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,Cursive Language Specification > 1. Conformance and Notation > 1.1 Conformance paragraph @79,CursiveSpecification.md:79,,**Phase2Order.**
17,TASK-005,Cross-Phase / Build Setup and Infrastructure,compiler/04_analysis,incorrect,Γ,CursiveSpecification.md:80,cursive/src/04_analysis/conformance/conformance.cpp:57-67; cursive/include/04_analysis/conformance/conformance.h:13-24,"Γ ⊢ Phase2Order(P) ⇓ ok ⇔ ∃ Ms, Ms_ct. Γ ⊢ ParseModules(P) ⇓ Ms ∧ Γ ⊢ ExecuteComptime(P, Ms) ⇓ Ms_ct"
18,TASK-005,Cross-Phase / Build Setup and Infrastructure,compiler/04_analysis,incorrect,"Phase3Checks(P, Ms_ct, Ms_res)",CursiveSpecification.md:82-87,cursive/src/04_analysis/conformance/conformance.cpp:57-67; cursive/include/04_analysis/conformance/conformance.h:13-24,"Phase3Checks(P, Ms_ct, Ms_res) = [Γ_ct ⊢ ResolveModules(P_ct) ⇓ Ms_res, Γ_res ⊢ DeclTyping(Ms_res) ⇓ ok, Γ_res ⊢ MainCheck(P_res) ⇓ ok]
 where
  P_ct = ProjectView(P, Ms_ct)
  Γ_ct = Γ[project ↦ P_ct]
  P_res = ProjectView(P, Ms_res)
  Γ_res = Γ[project ↦ P_res]"
19,TASK-005,Cross-Phase / Build Setup and Infrastructure,compiler/04_analysis,incorrect,Phase3Order(P),CursiveSpecification.md:88,cursive/src/04_analysis/conformance/conformance.cpp:57-67; cursive/include/04_analysis/conformance/conformance.h:13-24,"Phase3Order(P) ⇔ ∃ Ms, Ms_ct, Ms_res. Γ ⊢ ParseModules(P) ⇓ Ms ∧ Γ ⊢ ExecuteComptime(P, Ms) ⇓ Ms_ct ∧ FirstFail(Phase3Checks(P, Ms_ct, Ms_res)) = ⊥"
20,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,Cursive Language Specification > 1. Conformance and Notation > 1.1 Conformance paragraph @90,CursiveSpecification.md:90,,**Phase4Order.**
