"implemented","rule name","rule content","spec location","compiler location"
"","Cursive Language Specification > 0. Front Matter > 0.1 Document Organization requirement 1","1. This file is the canonical normative language specification.","CursiveSpecification.md:7",""
"","Cursive Language Specification > 0. Front Matter > 0.1 Document Organization requirement 2","2. Each feature section MUST have exactly one normative home in this file.","CursiveSpecification.md:8",""
"","Cursive Language Specification > 0. Front Matter > 0.1 Document Organization requirement 3","3. Each leaf feature section MUST use this subsection order:","CursiveSpecification.md:9",""
"","Cursive Language Specification > 0. Front Matter > 0.1 Document Organization bullet @10","- `Syntax`","CursiveSpecification.md:10",""
"","Cursive Language Specification > 0. Front Matter > 0.1 Document Organization bullet @11","- `Parsing`","CursiveSpecification.md:11",""
"","Cursive Language Specification > 0. Front Matter > 0.1 Document Organization bullet @12","- `AST Representation / Form`","CursiveSpecification.md:12",""
"","Cursive Language Specification > 0. Front Matter > 0.1 Document Organization bullet @13","- `Static Semantics`","CursiveSpecification.md:13",""
"","Cursive Language Specification > 0. Front Matter > 0.1 Document Organization bullet @14","- `Dynamic Semantics`","CursiveSpecification.md:14",""
"","Cursive Language Specification > 0. Front Matter > 0.1 Document Organization bullet @15","- `Lowering`","CursiveSpecification.md:15",""
"","Cursive Language Specification > 0. Front Matter > 0.1 Document Organization bullet @16","- `Diagnostics`","CursiveSpecification.md:16",""
"","Cursive Language Specification > 0. Front Matter > 0.1 Document Organization requirement 4","4. Shared framework material belongs only in infrastructure chapters.","CursiveSpecification.md:17",""
"","Cursive Language Specification > 0. Front Matter > 0.2 Canonical Chapter Outline bullet @21","- `0. Front Matter`","CursiveSpecification.md:21",""
"","Cursive Language Specification > 0. Front Matter > 0.2 Canonical Chapter Outline bullet @22","- `1. Conformance and Notation`","CursiveSpecification.md:22",""
"","Cursive Language Specification > 0. Front Matter > 0.2 Canonical Chapter Outline bullet @23","- `2. Diagnostic Infrastructure`","CursiveSpecification.md:23",""
"","Cursive Language Specification > 0. Front Matter > 0.2 Canonical Chapter Outline bullet @24","- `3. Project and Compilation Model`","CursiveSpecification.md:24",""
"","Cursive Language Specification > 0. Front Matter > 0.2 Canonical Chapter Outline bullet @25","- `4. Source Text and Lexical Structure`","CursiveSpecification.md:25",""
"","Cursive Language Specification > 0. Front Matter > 0.2 Canonical Chapter Outline bullet @26","- `5. Parsing and AST Infrastructure`","CursiveSpecification.md:26",""
"","Cursive Language Specification > 0. Front Matter > 0.2 Canonical Chapter Outline bullet @27","- `6. Abstract Machine, Objects, Responsibility, and Authority`","CursiveSpecification.md:27",""
"","Cursive Language Specification > 0. Front Matter > 0.2 Canonical Chapter Outline bullet @28","- `7. Name Resolution and Visibility`","CursiveSpecification.md:28",""
"","Cursive Language Specification > 0. Front Matter > 0.2 Canonical Chapter Outline bullet @29","- `8. Type System Core`","CursiveSpecification.md:29",""
"","Cursive Language Specification > 0. Front Matter > 0.2 Canonical Chapter Outline bullet @30","- `9. Attributes and Metadata`","CursiveSpecification.md:30",""
"","Cursive Language Specification > 0. Front Matter > 0.2 Canonical Chapter Outline bullet @31","- `10. Permissions and Binding State`","CursiveSpecification.md:31",""
"","Cursive Language Specification > 0. Front Matter > 0.2 Canonical Chapter Outline bullet @32","- `11. Module-Level Forms`","CursiveSpecification.md:32",""
"","Cursive Language Specification > 0. Front Matter > 0.2 Canonical Chapter Outline bullet @33","- `12. Concrete Data Types`","CursiveSpecification.md:33",""
"","Cursive Language Specification > 0. Front Matter > 0.2 Canonical Chapter Outline bullet @34","- `13. Modal and Special Types`","CursiveSpecification.md:34",""
"","Cursive Language Specification > 0. Front Matter > 0.2 Canonical Chapter Outline bullet @35","- `14. Abstraction and Polymorphism`","CursiveSpecification.md:35",""
"","Cursive Language Specification > 0. Front Matter > 0.2 Canonical Chapter Outline bullet @36","- `15. Procedures and Contracts`","CursiveSpecification.md:36",""
"","Cursive Language Specification > 0. Front Matter > 0.2 Canonical Chapter Outline bullet @37","- `16. Expressions`","CursiveSpecification.md:37",""
"","Cursive Language Specification > 0. Front Matter > 0.2 Canonical Chapter Outline bullet @38","- `17. Patterns`","CursiveSpecification.md:38",""
