task_id,wave,responsibility,phase_rank,shared_work_surface,atomic_surfaces,row_count,incorrect_count,missing_count,row_id_ranges,depends_on,dependency_reasons
TASK-001,0,Cross-Phase / Build Setup and Infrastructure,0,unmapped/no-compiler-location,unmapped/no-compiler-location,253,0,253,"1-8,10,12-14,16,20,22-24,34-63,66-69,76,113-115,117-119,123-127,129,131,134-135,138,140,147-149,151,155-159,161-162,164-182,189,192-196,200-201,203,208,213-214,216,218,221,223,225,228,235-236,244-247,306-307,311,314-318,325-326,330,332,334,336-342,354-357,375-376,378-379,384,389,394,418,421-423,431-432,434,439,444-446,455,460,465,468-469,477,484-486,490,493,496,502,524-580,737-738,740-741,747-748,751-752,773,804-805,809-815",,
TASK-002,0,Cross-Phase / Build Setup and Infrastructure,0,compiler/02_source,compiler/02_source,153,153,0,"25-33,70-75,77-112,150,183,185,588,593,598,600-601,603-604,609,613,617-618,620,625,629-632,637,640-643,646,648,650-657,659-661,663,665-668,670-671,674-678,696-700,702-717,719-720,725-726,729-731,734,736,739,743-746,749-750,753-754,756,760-761,764-767,771,779,786,793,796,808",,
TASK-003,0,Cross-Phase / Build Setup and Infrastructure,0,compiler/01_project,compiler/01_project,23,23,0,"303,312,319-323,335,353,393,415,433,441,443,448,452,466,470-472,474,479,481",,
TASK-004,0,Cross-Phase / Build Setup and Infrastructure,0,compiler/00_core,compiler/00_core,12,12,0,"120-122,130,132-133,136-137,413,581-582,584",,
TASK-005,0,Cross-Phase / Build Setup and Infrastructure,0,compiler/04_analysis,compiler/04_analysis,14,14,0,"9,11,15,17-19,21,65,116,128,139,288,723-724",,
TASK-013,0,Phase 1 - Parse and Aggregate,1,compiler/05_codegen,compiler/05_codegen,15,15,0,"1493,1650,2052-2053,2056,2060,2119,2197,2242,2245,2931-2932,3155-3156,3158",,
TASK-020,0,Phase 1 - Parse and Aggregate,1,runtime/src/concurrency,runtime/src/concurrency,1,1,0,2852,,
TASK-059,0,Phase 4 - Lower and Emit,4,runtime/src/context,runtime/src/context,2,2,0,8221-8222,,
TASK-060,0,Phase 4 - Lower and Emit,4,runtime/src/internal + runtime/src/memory,runtime/src/internal + runtime/src/memory,2,2,0,"7162,7178",,
TASK-066,0,Phase 4 - Lower and Emit,4,compiler/06_driver,compiler/06_driver,1,1,0,7805,,
TASK-070,0,Runtime / Non-Compilation Semantics,5,runtime/src/memory,runtime/src/memory,36,23,13,"9391-9395,9397-9407,9411-9415,9419,9428-9437,9446-9449",,
TASK-075,0,Runtime / Non-Compilation Semantics,5,runtime/src/io,runtime/src/io,9,9,0,"8921,8957,8962,8964,8977-8978,8993,8997-8998",,
TASK-104,0,Runtime / Non-Compilation Semantics,5,runtime/src/core,runtime/src/core,1,1,0,9513,,
TASK-006,1,Cross-Phase / Build Setup and Infrastructure,0,compiler/02_source + compiler/04_analysis,compiler/02_source + compiler/04_analysis,13,13,0,"682,684-692,695,722,757","TASK-002,TASK-005",TASK-002:same-phase/integration-after-component-fixes; TASK-005:same-phase/integration-after-component-fixes
TASK-007,1,Cross-Phase / Build Setup and Infrastructure,0,compiler/01_project + compiler/06_driver,compiler/01_project + compiler/06_driver,1,1,0,191,TASK-003,TASK-003:same-phase/integration-after-component-fixes
TASK-008,1,Phase 1 - Parse and Aggregate,1,compiler/02_source,compiler/02_source,427,427,0,"836,874,877,892,897,938,940,959,995,1019-1023,1025,1028,1030-1031,1049,1072-1073,1082-1084,1088-1093,1096,1109,1119,1137-1140,1157,1178-1180,1196,1206,1215-1216,1219,1221,1250,1259,1264,1268-1270,1276-1277,1280,1288,1290,1326,1337,1345-1346,1354-1359,1362-1363,1367,1370-1371,1375-1379,1384-1386,1406,1416-1427,1430,1432,1439,1443-1446,1448-1453,1490,1499-1505,1517,1521-1523,1550,1553,1555-1556,1558,1561-1563,1568,1571,1574,1578-1579,1581,1585,1591,1608-1609,1625-1626,1631,1635-1636,1638-1641,1644,1646,1649,1652,1655,1671-1674,1676-1678,1689,1692,1694,1698-1700,1705-1707,1713,1720,1734,1752-1754,1757-1758,1765,1767,1772-1773,1776,1791-1794,1803,1807-1810,1817-1818,1878,1900,1903-1904,1907-1908,1916,1919-1920,1923-1924,1926-1927,1929,1933-1934,1941,1945,1948-1953,1959,1962,1964,1975,1978-1979,2069-2071,2073-2075,2121,2136,2138,2141,2149,2153-2154,2160,2162-2164,2176,2205,2209-2210,2212,2214,2231,2234-2238,2256-2257,2260,2272,2276,2278,2283,2319,2344-2346,2350,2355,2363-2364,2368,2373-2374,2377-2380,2401-2403,2413,2415,2419,2424-2425,2427-2429,2440,2448,2462,2470,2498,2517,2523-2524,2526,2537,2545,2549-2551,2562-2563,2569,2577,2580,2585,2589,2597,2607,2610,2628,2647,2657,2702-2703,2705,2707,2714,2728-2729,2738,2783-2784,2797,2810,2813,2830-2831,2833,2893,2896,2943-2944,2947,2952-2954,2965-2966,2968-2969,2988,3069,3073,3078,3086-3088,3103-3105,3108,3110,3118,3121-3123,3126,3128-3129,3133-3134,3182,3184-3185,3187-3188,3191-3195,3197-3202,3216,3229-3231,3251,3254-3255,3264-3266,3296-3297,3300-3301,3306-3310,3312-3315,3317-3321,3323-3324,3327-3328,3332,3336-3337,3341-3344,3346-3354,3357-3358,3360-3361",TASK-002,TASK-002:phase-prerequisite/exact-surface
