"phase","implemented","rule name","rule content","spec location","compiler location"
"Phase 1 - Parse and Aggregate","complete","Cursive Language Specification > 4. Source Text and Lexical Structure > 4.1 Source Loading and Normalization paragraph @1671","**Source File Record.**","CursiveSpecification.md:1671","n/a - heading-only organizational label; the substantive Source File Record rules are audited in the immediately following rows"
"Phase 1 - Parse and Aggregate","complete","SourceFile","SourceFile = ?path, bytes, scalars, text, byte_len, line_starts, line_count?","CursiveSpecification.md:1672","cursive/include/00_core/source_text.h:110-118 ? `SourceFile` is defined with exactly the fields `path`, `bytes`, `scalars`, `text`, `byte_len`, `line_starts`, and `line_count`"
"Phase 1 - Parse and Aggregate","complete","Cursive Language Specification > 4. Source Text and Lexical Structure > 4.1 Source Loading and Normalization paragraph @1674","S.text = EncodeUTF8(S.scalars)
S.byte_len = ByteLen(S.text)
S.line_count = |S.line_starts|","CursiveSpecification.md:1674-1676","cursive/src/00_core/source_load.cpp:198-209 ? `BuildSpanSource` sets `text = EncodeUtf8(scalars)`, `byte_len = text.size()`, and `line_count = line_starts.size()` exactly as the row states"
"Phase 1 - Parse and Aggregate","complete","Cursive Language Specification > 4. Source Text and Lexical Structure > 4.1 Source Loading and Normalization paragraph @1678","**Unicode Scalars and UTF-8.**","CursiveSpecification.md:1678","n/a - heading-only organizational label; the substantive Unicode and UTF-8 rules are audited in the immediately following rows"
"Phase 1 - Parse and Aggregate","complete","Byte","Byte = { n ? ? | 0 ? n ? 255 }","CursiveSpecification.md:1679","cursive/include/00_core/source_text.h:112; cursive/src/00_core/source_load.cpp:118-125 ? bytes are represented with `std::uint8_t`, the exact 0..255 byte domain used by source loading and decode routines"
"Phase 1 - Parse and Aggregate","complete","Bytes","Bytes = [Byte]","CursiveSpecification.md:1680","cursive/include/00_core/source_text.h:112; cursive/src/00_core/source_load.cpp:118-125 ? byte sequences are represented as `std::vector<std::uint8_t>`, matching the sequence-of-bytes model"
"Phase 1 - Parse and Aggregate","complete","UnicodeScalar","UnicodeScalar = { u ? ? | 0 ? u ? 0x10FFFF ? u ? [0xD800, 0xDFFF] }","CursiveSpecification.md:1681","cursive/include/00_core/source_text.h:13-41 ? `UnicodeScalar` is now a checked wrapper over `std::uint32_t`, and construction validates the 0..0x10FFFF non-surrogate domain; cursive/src/00_core/unicode.cpp:382-383 and cursive/src/02_source/lexer/lexer_literals.cpp:239-240 route scalar-domain checks through `UnicodeScalar::IsValue`; cursive/src/02_source/lexer/tokenize.cpp:49-50 uses an explicit default `UnicodeScalar{}` sentinel after the wrapper change"
"Phase 1 - Parse and Aggregate","complete","Scalars","Scalars = [UnicodeScalar]","CursiveSpecification.md:1682","cursive/include/00_core/source_text.h:122-142 ? `DecodeResult.scalars`, `StripBOMResult.scalars`, `StripBOM(...)`, `NormalizeLF(...)`, and `SourceFile.scalars` all use `std::vector<UnicodeScalar>`; HelloCursive/Compiler/RunCompilerStaticConformance.ps1:10479-10499,16417-16418 adds and invokes `issue563_scalars_sequence_conformance` to lock those sequence declarations"
"Phase 1 - Parse and Aggregate","complete","String","String = Scalars","CursiveSpecification.md:1683","cursive/include/00_core/source_text.h:44-45 ? the core source-text layer now defines `using Scalars = std::vector<UnicodeScalar>;` and `using String = Scalars;`; HelloCursive/Compiler/RunCompilerStaticConformance.ps1:10502-10518,16438 adds and invokes `issue564_string_alias_conformance` to lock those aliases"
"Phase 1 - Parse and Aggregate","complete","Utf8Len(u)","Utf8Len(u) =
 1  if 0 ? u ? 0x7F
 2  if 0x80 ? u ? 0x7FF
 3  if 0x800 ? u ? 0xFFFF
 4  if 0x10000 ? u ? 0x10FFFF","CursiveSpecification.md:1684-1688","cursive/include/00_core/source_text.h:20-31 ? `Utf8Len` implements the exact 1/2/3/4-byte case split over the scalar ranges named in the rule"
